"PERC_TRUSTED_PAIR_TXN","PERC_PAST_15_DAY_TXN_CNT","PAST_30_DAY_TXN_CNT","PAST_21_DAY_TXN_CNT","FREQ_ACCNT_TXN_CNT","FREQ_ACCT_TXN_AMT","JURIDICTION_CODE","AVG_TRANS_AMT","WIRES_TXN","NO_HIGH_RISK_TXN","NO_OF_ACCOUNTS","TOTAL_HR_TXN","PAST_7DAYS_TXN_CNT","PAST_15DAYS_TXN_CNT","PAST_15_DAY_TXN_AMT","PAST_7_DAY_TXN_AMT","TOT_TXN_AMT","NO_OF_ACCOUNTS.1","AVG_MONTHLY_TXN","AVG_TRAN_CNT","DAYS_BTW_2_TXN","DAY_OF_TXN","WIRES_TXN_AMT","PAST_21_DAY_TXN_AMT","PAST_30_DAY_TXN_AMT","RISK_FLAG","AVG_MI_TXN_AMT","AVG_CASH_TXN_AMT","AVG_BO_TXN_AMT","ALERT_STATUS","RF_pred","LR_pred","ANN_pred","Xgboost_pred"
-1.760402481,0.221924153,0.579949898,-1.413194092,0.804876249,-0.353324324,0.869655641,-0.031477112,0.317739047,-0.118295038,-1.053730462,-0.296843762,0.13136414,-0.170066569,0.748794675,0.410891393,-0.749974772,-0.745597186,-0.487556885,-0.105203803,-0.403692059,-0.478169343,0.261137612,-0.903294971,-0.130708919,0.713907127,-0.028134479,-0.410876701,62.92,0,-2.16e-16,2.88e-05,6.55e-06,0.000515573
-0.342871277,-0.199545805,1.976352578,-0.003494934,-1.170365599,0.883500932,-0.151879286,0.160105718,0.137973356,-0.060121656,-2.201009463,0.852035106,1.478893322,-1.653727065,-2.750145065,-1.814001872,-0.021557592,1.102767148,-1.018303545,-0.572161856,-0.313443189,0.086207298,0.10960035,-0.098950647,-0.943009394,-0.618657205,0.253306203,0.240271463,99.82,0,-1.23e-16,0.000209582,4.51e-05,0.001319738
-0.719402299,-0.12418376,1.979308881,0.50341534,-0.732324065,0.394882604,0.280295996,0.118478131,-1.445665939,0.267392186,-0.72590923,-0.114619106,0.570009354,-0.264338203,0.617933333,-2.115463181,0.488494551,1.05409097,-0.602146743,-0.058001928,-0.170479698,-0.125549956,0.203485214,0.041484447,-0.026662681,-0.232425279,0.134531297,0.133483791,140.6,0,-1.92e-16,0.000161789,4.29e-06,0.00056946
-1.088458254,1.197103322,1.293719051,-1.176453493,-0.859954614,-1.476075434,0.30825432,0.196454172,0.542924754,-0.032406197,-0.125285297,-0.149935133,-0.824834176,0.069129833,0.581413295,0.526806813,-0.408214725,-0.474626483,-1.017828977,0.158246774,-0.150072153,-0.252378549,0.082766314,0.929138671,-0.251993525,0.675392075,0.0935283,-0.093285839,2.31,0,-2.17e-16,4.33e-05,8.03e-06,0.000515573
1.256216551,0.255027772,0.277716369,0.706677006,-0.495830729,-1.106735496,-0.008493086,-0.124504206,0.243687321,-0.241481177,-0.303760814,-0.506626174,-1.168699448,-0.010084512,1.246871545,0.543820969,0.074469723,-0.128265451,-0.188904074,-0.171118066,-0.303926937,-0.94382962,0.14655068,0.307164398,0.1690701,0.099128845,-0.032095073,0.027743466,1.29,0,-2.11e-16,0.000249016,2.29e-06,0.000584827
1.240600112,0.747735016,-0.214136192,1.301475363,0.124739709,-1.172183417,0.37105861,-0.306401437,-0.246672199,-0.597783921,0.227746613,0.525386862,1.059571039,-1.269549018,0.939238882,0.45282216,0.611010722,0.332028616,-0.590463561,-0.035732221,-0.039412879,0.01069977,-0.132260724,0.306804504,0.728250757,-0.331239351,0.039023757,0.053599682,1,0,-1.15e-16,0.000955945,0.000105,0.000988444
-2.312226542,1.951992011,-1.609850732,3.997905588,-0.522187865,-1.426545319,-2.537387306,1.391657248,-2.770089277,-2.772272145,3.202033207,-2.899907388,-0.595221881,-4.289253782,0.38972412,-1.14074718,-2.830055675,-0.016822468,0.416955705,0.126910559,0.517232371,-0.035049369,-0.465211076,0.320198199,0.044519167,0.177839798,0.261145003,-0.143275875,0,1,0.5405,0.375416481,0.7,0.440111816
1.157235446,0.138019292,0.384987397,1.403600429,-0.222511764,-0.197942681,0.01826416,0.029727005,0.412465804,-0.10270866,-0.673820287,0.101237715,-0.936231549,0.226935914,-0.005099422,-0.684869024,0.309748288,-0.87860907,-0.36341697,-0.234542568,-0.108899722,-0.124280543,-0.055454111,0.072990089,0.634637765,-0.310493292,0.033930603,0.014936892,11.99,0,-2.11e-16,0.000636813,3.93e-06,0.000695997
1.039673932,-0.329295605,1.073431252,1.547480277,-0.595509891,1.0909697,-0.703762628,0.511730095,1.176991531,-0.22026736,0.113149673,0.986915066,-1.375333303,-0.347843185,-2.260051576,-0.802281887,0.466460194,-0.616351615,0.591883086,-0.236055894,-0.391770227,-0.761527649,0.035646187,-0.329861818,0.399210416,-0.50425953,0.078070407,0.014682973,20.74,0,-1.7e-16,0.000819079,3.96e-05,0.000695997
-0.753769334,1.098287093,1.835452883,0.614571394,-0.317858924,-0.101054793,0.03945419,-0.656824211,-0.048760814,-0.216190842,-0.311958542,-0.414790844,-1.023195296,0.270999445,1.248324597,-0.046737493,-0.09776312,-0.015157166,-0.965600793,-0.369512141,1.101142008,0.686058822,0.005954268,0.361744199,-0.457851855,-0.352575715,0.09460205,0.170479578,5,0,-2.06e-16,0.000711006,1.99e-06,0.000575446
